,location,text,hashtags,date
0,Ya Dreams❤️,RT @itscesaryo: celebrities making singing videos as corona virus now tops over 230k cases worldwide  https://t.co/HPVjPn2fso,[],2020-03-20 16:04:26
1,"Atlanta, GA",RT @tourdecarlos: Did y’all president just call corona the “Chinese virus”?????? https://t.co/0Nu1dDoiwX,[],2020-03-20 16:04:26
2,,RT @SurinderBir1: @amitandon @NAN_DINI_ Corona is only another link in chain. India started suffering right from the moment Nehru came on s…,[],2020-03-20 16:04:26
3,"Carson, CA",RT @gherbo: WHEN I HEARD KD HAD CORONA VIRUS😔 @nba YALL BETTER GET TO THE BOTTOM OF THIS SHIT ASAP‼️ https://t.co/VpU5Q7tRp5,[],2020-03-20 16:04:26
4,,"RT @krystalball: If you care about the outrageous immorality of this now, please also care about it as it applies to every illness every da…",[],2020-03-20 16:04:26
5,,RT @manakgupta: UP police to register FIR against #KanikaKapoor for putting others at risk of #Corona @news24tvchannel,"[{'text': 'KanikaKapoor', 'indices': [50, 63]}, {'text': 'Corona', 'indices': [94, 101]}]",2020-03-20 16:04:26
6,België,"RT @maysssss_: Can I at least have one of those before corona kills me 
 https://t.co/BQOHxL5tXN",[],2020-03-20 16:04:26
7,Pakistan,The only way to fight against any battle is you must have good connection with Allah Almighty !! 💖🇵🇰… https://t.co/FDPDhN4MYo,[],2020-03-20 16:04:26
8,,"RT @BernieSanders: Right now 87 million Americans are uninsured or underinsured.

Our profit-driven health care system is a danger to our p…",[],2020-03-20 16:04:27
9,♍︎☉•♑︎☽•♊︎↑,RT @itscesaryo: celebrities making singing videos as corona virus now tops over 230k cases worldwide  https://t.co/HPVjPn2fso,[],2020-03-20 16:04:27
10,,RT @tasha__koh: Please do not have sexual intercourse infront of your children for this will then be their “normal” and god knows in what w…,[],2020-03-20 16:04:27
11,,RT @Getthebagcoach: Dawg y’all funny man..... This Corona got y’all being creative .. https://t.co/Ax5oFFPlnB,[],2020-03-20 16:04:27
12,"Uttar Pradesh, India","RT @theskindoctor13: Shaheen Bagh is still on.

Mosques are open.

MuIIahs are saying Corona won't harm if you read qalma.

Tiktokiye are m…",[],2020-03-20 16:04:27
13,,"RT @K_JeanPierre: It’s not only racist but deliberate. For those who believe, he says whatever comes to mind —- well, here is proof that it…",[],2020-03-20 16:04:27
14,"Zurich, Switzerland",Maintaining the stability of all SWITCH services is our top priority. This info page provides ongoing updates on th… https://t.co/I0tlRiSw2x,[],2020-03-20 16:04:27
15,New York,The Roles Kanye West Has Been Playing To Fight Against Corona Virus ----&gt; https://t.co/yTYZJiWpLX #SAHipHopMag https://t.co/deWIPrmRmC,"[{'text': 'SAHipHopMag', 'indices': [101, 113]}]",2020-03-20 16:04:27
16,@Somerset House @Battersea_Art,"RT @BrianBVSC: I've just signed @sccoalition's letter to @BorisJohnson, asking for urgent financial support for the non-profit sector. Many…",[],2020-03-20 16:04:27
17,Blessed to be an INDIAN,"RT @Dt_Ritika: Being a cancer patient i am scared of COVID-19. 
If you catch Corona you may recover but people like us who are immunodefici…",[],2020-03-20 16:04:27
18,Earth,"RT @theskindoctor13: Shaheen Bagh is still on.

Mosques are open.

MuIIahs are saying Corona won't harm if you read qalma.

Tiktokiye are m…",[],2020-03-20 16:04:27
19,"Illinois, USA","RT @meaganmday: Less than a week ago Joe Biden insisted there’s no connection between single-payer healthcare and coronavirus, while Chris…",[],2020-03-20 16:04:27
20,"Sabalgarh, India",RT @narendramodi: Speed and precision have been the forte of these excellent players. Time for India to act speedily and methodically to co…,[],2020-03-20 16:04:27
21,"Pune, Maharashtra, India","RT @amitandon: Corona has proven that India's  bigger problem is not illiteracy, it is stupidity of literate people",[],2020-03-20 16:04:27
22,Medan,It aint stupid if it works https://t.co/l1Jekak1PP,[],2020-03-20 16:04:27
23,Chennai,"RT @Dt_Ritika: Being a cancer patient i am scared of COVID-19. 
If you catch Corona you may recover but people like us who are immunodefici…",[],2020-03-20 16:04:28
24,,"RT @theskindoctor13: Shaheen Bagh is still on.

Mosques are open.

MuIIahs are saying Corona won't harm if you read qalma.

Tiktokiye are m…",[],2020-03-20 16:04:28
25,,RT @unoffarnab: Not a hospital. This is Cochin International Airport. A section of the solar carport is being utilised for the parking of a…,[],2020-03-20 16:04:28
26,Not here,They dumb asses gon b like “ is life supposed to stop? “ https://t.co/UKpsbpN2gk,[],2020-03-20 16:04:28
27,"New Delhi, India","RT @theskindoctor13: Shaheen Bagh is still on.

Mosques are open.

MuIIahs are saying Corona won't harm if you read qalma.

Tiktokiye are m…",[],2020-03-20 16:04:28
28,,RT @fcukyuow: Breaking News: Figure of confirmed Corona virus cases in sindh just crossed total votes of @MJibranNasir in 2018 GE.,[],2020-03-20 16:04:28
29,South Africa,The Roles Kanye West Has Been Playing To Fight Against Corona Virus ----&gt; https://t.co/ZCMgsiQrRI #SAHipHopMag https://t.co/kkkGhuerFR,"[{'text': 'SAHipHopMag', 'indices': [101, 113]}]",2020-03-20 16:04:28
30,,"RT @zoo_bear: What is the mandatory corona screening at Airport?  Thermal scanning? Many who came back from China, France, London, Italy, U…",[],2020-03-20 16:04:28
31,,RT @bIondiewasabi: this man’s piss could stop corona,[],2020-03-20 16:04:28
32,The Hell ,RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ,[],2020-03-20 16:04:28
33,"Georgia, USA",Praying this Corona Virus ends soon &amp; we can get our economy back booming like never before! Proud of our president… https://t.co/FOiXdVBGSg,[],2020-03-20 16:04:28
34,,RT @zairfulradzuan: everyone coming out of corona as barista,[],2020-03-20 16:04:28
35,India,"RT @6Bblu: @desh_bhkt @Javedakhtarjadu When you realise #Corona is closer to you than you assumed,  like #KanikaKapoor and above 65 are at…","[{'text': 'Corona', 'indices': [56, 63]}, {'text': 'KanikaKapoor', 'indices': [105, 118]}]",2020-03-20 16:04:28
36,harry / troye,corona virus before going into that bat and stopping the whole world https://t.co/6Jgo3Tfhme,[],2020-03-20 16:04:28
37,Rexdale,RT @gherbo: WHEN I HEARD KD HAD CORONA VIRUS😔 @nba YALL BETTER GET TO THE BOTTOM OF THIS SHIT ASAP‼️ https://t.co/VpU5Q7tRp5,[],2020-03-20 16:04:28
38,,@realDonaldTrump @SecPompeo ITS CALLED THE CORONA VIRUS,[],2020-03-20 16:04:28
39,Hogwarts,RT @itscesaryo: celebrities making singing videos as corona virus now tops over 230k cases worldwide  https://t.co/HPVjPn2fso,[],2020-03-20 16:04:28
40,India,"RT @gkd600: No more spreading Rumors. This is the official website for CORONA updates.   Updating every 4 hrs..  
Keep This link  for getti…",[],2020-03-20 16:04:28
41,"Here, there and everywhere",RT @tifflovesoils: Here is my corona saga. Woke up yesterday with fever dry cough and my chest hurt. I have severe lung damage from a pneum…,[],2020-03-20 16:04:29
42,"New Delhi, INDIA",RT @bainjal: That son of a top official in West Bengal &amp; Kanika Kapoor both dodged mandatory corona screening. This is all you need to know…,[],2020-03-20 16:04:29
43,Milano,"RT @SyedRezaMehdi: This is a #Corona patient. He was a delivery boy, his lungs are damaged. Please don’t take #Covid_19 lightly. Social dis…","[{'text': 'Corona', 'indices': [29, 36]}, {'text': 'Covid_19', 'indices': [110, 119]}]",2020-03-20 16:04:29
44,"Berkeley, CA","RT @AOC: We need to cover 100% of the costs of uninsured &amp; underinsured people right now.

Not just Coronavirus bills, either - getting sic…",[],2020-03-20 16:04:29
45,South Africa...🔥🔥🔥,"RT @opinionisticity: Nothing will ever be the same after Covid19, with escalating destructive effect, chances of disaster aid from abroad t…",[],2020-03-20 16:04:29
46,,RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ,[],2020-03-20 16:04:29
47,Can Yaman's beard,"I actually had all the symptoms of corona back in October.

Friday - sore throat and slight cough
Saturday - woke u… https://t.co/ryXVoYCquL",[],2020-03-20 16:04:29
48,"Jodhpur, India","RT @SmokingSkills_: Daughter of an IAS, son of a Kolkata officer, son of Railway official, and a famous elite singer. All these are very in…",[],2020-03-20 16:04:29
49,,RT @DivyaSoti: Not a single news channel is going to dare broadcast the news that Saudi Arabia has suspended Friday prayers in Mecca and Me…,[],2020-03-20 16:04:29
50,,QUE? kasdkakd https://t.co/Kq9LyGg6xO,[],2020-03-20 16:04:29
51,"Texas, USA",RT @Steffeazy: Your Contagious 😷 the Corona Edition https://t.co/TvgjmVPE4d,[],2020-03-20 16:04:29
52,"North Carolina, USA",RT @sanabucha: 51 new Corona cases in Sindh. Locally transmitted. #CMSindh advises 3 days of #SelfIsolation Please do your part. For your o…,"[{'text': 'CMSindh', 'indices': [66, 74]}, {'text': 'SelfIsolation', 'indices': [93, 107]}]",2020-03-20 16:04:29
53,waynes world,RT @MrlondonTV: This whole corona thing is mentally draining man.,[],2020-03-20 16:04:29
54,South Africa,The Roles Kanye West Has Been Playing To Fight Against Corona Virus ----&gt; https://t.co/OMuq5RFTVI #SAHipHopMag https://t.co/GMMt76pAW0,"[{'text': 'SAHipHopMag', 'indices': [101, 113]}]",2020-03-20 16:04:29
55,,"RT @mrnoelsean: Power 🌟 Corona Awareness Video  
#Powerstar #PawanKalyan #JanataCurfew #JanataCurfewMarch22 https://t.co/ukkiXm6y9h","[{'text': 'Powerstar', 'indices': [49, 59]}, {'text': 'PawanKalyan', 'indices': [60, 72]}, {'text': 'JanataCurfew', 'indices': [73, 86]}, {'text': 'JanataCurfewMarch22', 'indices': [87, 107]}]",2020-03-20 16:04:29
56,Kolep.,RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ,[],2020-03-20 16:04:29
57,"Brooklyn, NY","SEE!  I been saying that corona been around, I def had that shit already cuz I had a nasty cough in January.  I tho… https://t.co/3ATFdJ3QtX",[],2020-03-20 16:04:29
58,,"RT @MABIN2_: Corona please. We are tired, we get it.",[],2020-03-20 16:04:29
59,Kya farq padta hai,"RT @theskindoctor13: Shaheen Bagh is still on.

Mosques are open.

MuIIahs are saying Corona won't harm if you read qalma.

Tiktokiye are m…",[],2020-03-20 16:04:29
60,,RT @itscesaryo: celebrities making singing videos as corona virus now tops over 230k cases worldwide  https://t.co/HPVjPn2fso,[],2020-03-20 16:04:29
61,India,"RT @narendramodi: Explosive batsmen who've seen teams through crises have something to say to us.

We too will come together to fight COVID…",[],2020-03-20 16:04:29
62,🤷🏽‍♀️,@CrazyCari97 Wull ummm... Corona got us all changing our plans https://t.co/z1uRK1Rpqq,[],2020-03-20 16:04:29
63,"Gurugram, Bharat","RT @narendramodi: The young actors have something to say..

Its time to be 'Zyada Savdhan' and do 'Corona ka Punchnama'! #IndiaFightsCorona…","[{'text': 'IndiaFightsCorona', 'indices': [121, 139]}]",2020-03-20 16:04:29
64,"Hyderabad, India","@GHMCOnline @CPHydCity @MinisterKTR @Eatala_Rajender 
I think all restaurants must be closed in Hyderabad, which re… https://t.co/xdthfNZb1k",[],2020-03-20 16:04:29
65,आपकी हँसी में,RT @bainjal: Kanika Kapoor sings special song for PM Modi at UK’s Wembley Stadium https://t.co/GiMYeo7G04 is this why Kapoor escaped mandat…,[],2020-03-20 16:04:30
66,"Johannesburg, South Africa","Our partnership continues, based on the door to door campaign we took a stand to postpone it until we sure and clea… https://t.co/UBUIagmfwL",[],2020-03-20 16:04:29
67,htx,RT @joshieyamaguchi: corona sis you leaving by may right? https://t.co/vwDdLhmAwz,[],2020-03-20 16:04:30
68,,RT @Nigel_Farage: The government needs to do things like this fast.,[],2020-03-20 16:04:30
69,PNWonderland,"RT @BernieSanders: Right now 87 million Americans are uninsured or underinsured.

Our profit-driven health care system is a danger to our p…",[],2020-03-20 16:04:30
70,"Fort Mill, SC",RT @gherbo: WHEN I HEARD KD HAD CORONA VIRUS😔 @nba YALL BETTER GET TO THE BOTTOM OF THIS SHIT ASAP‼️ https://t.co/VpU5Q7tRp5,[],2020-03-20 16:04:30
71,India,"RT @narendramodi: The young actors have something to say..

Its time to be 'Zyada Savdhan' and do 'Corona ka Punchnama'! #IndiaFightsCorona…","[{'text': 'IndiaFightsCorona', 'indices': [121, 139]}]",2020-03-20 16:04:30
72,,You know this corona shit has gone too far when ur gf asks “r u sure we should be kissing” FUCK,[],2020-03-20 16:04:30
